refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
NM_001984,2098,ENSG00000139684,ESD
NM_001985,2109,ENSG00000105379,ETFB
NM_001987,2120,ENSG00000139083,ETV6
NM_002004,2224,ENSG00000160752,FDPS
NM_002013,2287,ENSG00000100442,FKBP3
NM_002027,2339,ENSG00000168522,FNTA
NM_002035,2531,ENSG00000119537,KDSR
NM_002041,2553,ENSG00000104064,GABPB1
NM_002044,2585,ENSG00000156958,GALK2
NM_002047,2617,ENSG00000106105,GARS1
NM_002061,2730,ENSG00000023909,GCLM
NM_002074,2782,ENSG00000078369,GNB1
NM_002076,2799,ENSG00000135677,GNS
NM_002077,2800,ENSG00000136935,GOLGA1
NM_002085,2879,ENSG00000167468,GPX4
NM_002092,2926,ENSG00000132463,GRSF1
NM_002093,2932,ENSG00000082701,GSK3B
NM_002094,2935,ENSG00000103342,GSPT1
NM_002096,2962,ENSG00000125651,GTF2F1
NM_002097,2971,ENSG00000122034,GTF3A
NM_002105,3014,ENSG00000188486,H2AX
NM_002106,3015,ENSG00000164032,H2AZ1
NM_002109,3035,ENSG00000170445,HARS1
NM_002111,3064,ENSG00000197386,HTT
NM_002114,3096,ENSG00000095951,HIVEP1
NM_002128,3146,ENSG00000189403,HMGB1
NM_002134,3163,ENSG00000277424,HMOX2
NM_002134,3163,ENSG00000103415,HMOX2
NM_002137,3181,ENSG00000122566,HNRNPA2B1
NM_002138,3184,ENSG00000138668,HNRNPD
NM_002139,27316,ENSG00000147274,RBMX
NM_002140,3190,ENSG00000165119,HNRNPK
NM_002154,3308,ENSG00000170606,HSPA4
NM_002161,3376,ENSG00000196305,IARS1
NM_002184,3572,ENSG00000134352,IL6ST
NM_002211,3688,ENSG00000150093,ITGB1
NM_002212,3692,ENSG00000242372,EIF6
NM_002227,3716,ENSG00000162434,JAK1
NM_002231,3732,ENSG00000085117,CD82
NM_002264,3836,ENSG00000114030,KPNA1
NM_002265,3837,ENSG00000108424,KPNB1
NM_002270,3842,ENSG00000083312,TNPO1
NM_002294,3920,ENSG00000005893,LAMP2
NM_002311,3980,ENSG00000005156,LIG3
NM_002312,3981,ENSG00000174405,LIG4
NM_002337,4043,ENSG00000163956,LRPAP1
NM_002340,4047,ENSG00000281289,LSS
NM_002340,4047,ENSG00000160285,LSS
NM_002355,4074,ENSG00000003056,M6PR
NM_002370,4116,ENSG00000162385,MAGOH
